course_code,course_name,section_name,session_date,student_code,student_name,attendance_status,minutes_late,source,week_number,day_of_week,session_start_time,course_load
STAT101,Statistics I,Section 1,2026-02-28,S4017,Synthetic Student 4017,present,1,qr,8,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-02-14,S4129,Synthetic Student 4129,absent,1,qr,2,Monday,09:00,2
MATH101,Calculus I,Section 3,2026-04-18,S4013,Synthetic Student 4013,absent,0,qr,10,Wednesday,14:00,4
MATH101,Calculus I,Section 2,2026-02-23,S4108,Synthetic Student 4108,present,1,qr,3,Saturday,10:00,5
PHY101,Physics I,Section 1,2026-03-09,S4046,Synthetic Student 4046,absent,0,qr,1,Monday,09:00,3
PHY101,Physics I,Section 3,2026-04-25,S4039,Synthetic Student 4039,present,1,qr,14,Saturday,10:00,4
MATH101,Calculus I,Section 3,2026-04-27,S4025,Synthetic Student 4025,present,0,qr,12,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-28,S4055,Synthetic Student 4055,present,0,qr,4,Saturday,10:00,5
CS101,Intro to Programming,Section 2,2026-03-02,S4053,Synthetic Student 4053,late,16,qr,7,Sunday,12:00,3
PHY101,Physics I,Section 1,2026-04-13,S4177,Synthetic Student 4177,absent,0,qr,12,Saturday,14:00,3
CS101,Intro to Programming,Section 3,2026-05-11,S4011,Synthetic Student 4011,late,6,qr,14,Wednesday,14:00,3
CS101,Intro to Programming,Section 3,2026-02-14,S4133,Synthetic Student 4133,late,1,qr,12,Monday,09:00,3
MATH101,Calculus I,Section 2,2026-02-14,S4140,Synthetic Student 4140,absent,1,qr,6,Monday,09:00,4
MATH101,Calculus I,Section 1,2026-05-02,S4105,Synthetic Student 4105,excused,0,manual,14,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-02-09,S4164,Synthetic Student 4164,present,0,qr,4,Monday,09:00,3
PHY101,Physics I,Section 2,2026-02-09,S4080,Synthetic Student 4080,excused,2,manual,2,Monday,12:00,5
PHY101,Physics I,Section 1,2026-03-09,S4064,Synthetic Student 4064,absent,0,qr,8,Monday,09:00,3
MATH101,Calculus I,Section 2,2026-03-02,S4021,Synthetic Student 4021,present,0,qr,7,Sunday,12:00,4
CS101,Intro to Programming,Section 3,2026-02-14,S4130,Synthetic Student 4130,absent,0,qr,2,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-04-27,S4080,Synthetic Student 4080,present,0,qr,5,Sunday,12:00,4
MATH101,Calculus I,Section 2,2026-03-28,S4150,Synthetic Student 4150,present,0,qr,8,Saturday,10:00,5
PHY101,Physics I,Section 1,2026-03-23,S4080,Synthetic Student 4080,absent,2,qr,1,Saturday,10:00,4
STAT101,Statistics I,Section 3,2026-04-20,S4085,Synthetic Student 4085,present,0,qr,11,Saturday,10:00,3
STAT101,Statistics I,Section 1,2026-02-09,S4139,Synthetic Student 4139,absent,1,qr,10,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-02-14,S4047,Synthetic Student 4047,absent,2,qr,10,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-03-23,S4003,Synthetic Student 4003,absent,0,qr,1,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-04-11,S4031,Synthetic Student 4031,present,0,qr,6,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-04-25,S4000,Synthetic Student 4000,present,0,qr,5,Saturday,10:00,4
CS101,Intro to Programming,Section 2,2026-02-23,S4064,Synthetic Student 4064,present,0,qr,9,Wednesday,10:00,5
PHY101,Physics I,Section 1,2026-03-02,S4026,Synthetic Student 4026,absent,0,qr,14,Sunday,12:00,5
PHY101,Physics I,Section 3,2026-05-04,S4157,Synthetic Student 4157,present,0,qr,7,Monday,12:00,2
STAT101,Statistics I,Section 3,2026-03-14,S4093,Synthetic Student 4093,absent,0,qr,6,Monday,09:00,5
MATH101,Calculus I,Section 1,2026-03-14,S4043,Synthetic Student 4043,present,0,qr,6,Monday,09:00,5
STAT101,Statistics I,Section 2,2026-04-11,S4137,Synthetic Student 4137,present,2,qr,14,Monday,09:00,2
PHY101,Physics I,Section 3,2026-03-14,S4171,Synthetic Student 4171,late,12,qr,2,Monday,09:00,3
PHY101,Physics I,Section 1,2026-04-18,S4173,Synthetic Student 4173,present,0,qr,12,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-04-27,S4171,Synthetic Student 4171,present,2,qr,12,Sunday,09:00,4
STAT101,Statistics I,Section 3,2026-04-18,S4146,Synthetic Student 4146,present,2,qr,4,Wednesday,14:00,3
STAT101,Statistics I,Section 3,2026-03-14,S4140,Synthetic Student 4140,late,11,qr,6,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4015,Synthetic Student 4015,late,9,qr,3,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-03-07,S4075,Synthetic Student 4075,excused,0,manual,2,Sunday,12:00,3
STAT101,Statistics I,Section 1,2026-03-07,S4169,Synthetic Student 4169,present,0,qr,2,Sunday,12:00,2
PHY101,Physics I,Section 3,2026-03-14,S4106,Synthetic Student 4106,absent,0,qr,7,Monday,09:00,3
CS101,Intro to Programming,Section 2,2026-04-13,S4030,Synthetic Student 4030,absent,0,qr,3,Wednesday,14:00,5
PHY101,Physics I,Section 2,2026-04-04,S4100,Synthetic Student 4100,absent,0,qr,9,Sunday,12:00,2
PHY101,Physics I,Section 1,2026-02-28,S4071,Synthetic Student 4071,late,17,qr,13,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-04-27,S4123,Synthetic Student 4123,present,0,qr,6,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-14,S4176,Synthetic Student 4176,present,0,qr,11,Monday,09:00,2
STAT101,Statistics I,Section 3,2026-04-20,S4179,Synthetic Student 4179,present,0,qr,4,Saturday,10:00,3
MATH101,Calculus I,Section 3,2026-03-07,S4044,Synthetic Student 4044,present,0,qr,3,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-02-23,S4146,Synthetic Student 4146,present,0,qr,8,Saturday,10:00,4
PHY101,Physics I,Section 2,2026-02-09,S4106,Synthetic Student 4106,present,0,qr,7,Monday,09:00,5
MATH101,Calculus I,Section 1,2026-05-02,S4081,Synthetic Student 4081,present,0,qr,12,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-02-23,S4133,Synthetic Student 4133,present,0,qr,2,Saturday,10:00,4
PHY101,Physics I,Section 2,2026-02-23,S4107,Synthetic Student 4107,present,0,qr,3,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-03-16,S4019,Synthetic Student 4019,present,2,qr,13,Sunday,14:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4038,Synthetic Student 4038,absent,0,qr,9,Wednesday,14:00,3
CS101,Intro to Programming,Section 2,2026-03-02,S4087,Synthetic Student 4087,absent,0,qr,5,Sunday,12:00,3
PHY101,Physics I,Section 2,2026-02-09,S4118,Synthetic Student 4118,absent,0,qr,12,Monday,09:00,5
CS101,Intro to Programming,Section 2,2026-04-11,S4141,Synthetic Student 4141,present,0,qr,11,Monday,09:00,5
PHY101,Physics I,Section 3,2026-04-25,S4005,Synthetic Student 4005,present,2,qr,13,Monday,10:00,4
CS101,Intro to Programming,Section 3,2026-02-14,S4061,Synthetic Student 4061,present,0,qr,11,Monday,09:00,3
PHY101,Physics I,Section 2,2026-02-07,S4046,Synthetic Student 4046,absent,0,qr,13,Sunday,12:00,5
CS101,Intro to Programming,Section 2,2026-04-13,S4109,Synthetic Student 4109,present,0,qr,11,Wednesday,14:00,5
STAT101,Statistics I,Section 2,2026-04-11,S4143,Synthetic Student 4143,present,0,qr,12,Monday,09:00,2
CS101,Intro to Programming,Section 3,2026-04-04,S4031,Synthetic Student 4031,absent,0,qr,13,Sunday,12:00,3
CS101,Intro to Programming,Section 1,2026-03-30,S4105,Synthetic Student 4105,absent,0,qr,1,Sunday,12:00,4
PHY101,Physics I,Section 3,2026-05-04,S4048,Synthetic Student 4048,present,0,qr,6,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-04-25,S4089,Synthetic Student 4089,present,0,qr,7,Saturday,10:00,4
MATH101,Calculus I,Section 3,2026-02-07,S4037,Synthetic Student 4037,absent,0,qr,5,Sunday,12:00,4
PHY101,Physics I,Section 3,2026-05-04,S4073,Synthetic Student 4073,absent,2,qr,1,Monday,09:00,2
PHY101,Physics I,Section 1,2026-03-07,S4156,Synthetic Student 4156,present,0,qr,5,Sunday,12:00,3
CS101,Intro to Programming,Section 3,2026-03-21,S4060,Synthetic Student 4060,late,4,qr,10,Wednesday,14:00,3
STAT101,Statistics I,Section 2,2026-05-04,S4034,Synthetic Student 4034,present,0,qr,9,Monday,09:00,2
MATH101,Calculus I,Section 2,2026-03-02,S4068,Synthetic Student 4068,present,0,qr,14,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-09,S4164,Synthetic Student 4164,present,0,qr,10,Monday,09:00,3
CS101,Intro to Programming,Section 2,2026-02-23,S4070,Synthetic Student 4070,absent,0,qr,3,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-05-04,S4152,Synthetic Student 4152,present,2,qr,14,Monday,09:00,5
MATH101,Calculus I,Section 1,2026-03-16,S4024,Synthetic Student 4024,present,0,qr,5,Saturday,14:00,5
MATH101,Calculus I,Section 2,2026-02-16,S4011,Synthetic Student 4011,present,0,qr,1,Wednesday,14:00,4
STAT101,Statistics I,Section 3,2026-03-16,S4158,Synthetic Student 4158,present,0,qr,13,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-02-21,S4155,Synthetic Student 4155,absent,0,qr,2,Wednesday,14:00,4
PHY101,Physics I,Section 3,2026-03-14,S4054,Synthetic Student 4054,absent,1,qr,3,Monday,12:00,3
PHY101,Physics I,Section 1,2026-03-02,S4100,Synthetic Student 4100,present,0,qr,12,Sunday,12:00,5
PHY101,Physics I,Section 1,2026-04-18,S4124,Synthetic Student 4124,absent,0,qr,6,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-04-18,S4159,Synthetic Student 4159,present,2,qr,3,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-03-21,S4012,Synthetic Student 4012,present,0,qr,7,Wednesday,14:00,4
PHY101,Physics I,Section 2,2026-03-28,S4124,Synthetic Student 4124,absent,1,qr,10,Wednesday,10:00,4
PHY101,Physics I,Section 2,2026-02-07,S4073,Synthetic Student 4073,absent,0,qr,7,Sunday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-23,S4155,Synthetic Student 4155,present,0,qr,7,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-02-16,S4069,Synthetic Student 4069,present,0,qr,14,Wednesday,14:00,3
STAT101,Statistics I,Section 2,2026-05-04,S4013,Synthetic Student 4013,present,0,qr,9,Monday,14:00,2
CS101,Intro to Programming,Section 3,2026-05-11,S4105,Synthetic Student 4105,absent,1,manual,7,Wednesday,14:00,3
STAT101,Statistics I,Section 1,2026-02-28,S4102,Synthetic Student 4102,absent,2,qr,14,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-02-28,S4088,Synthetic Student 4088,present,0,qr,7,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-05-04,S4164,Synthetic Student 4164,present,0,qr,13,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-03-16,S4047,Synthetic Student 4047,late,1,qr,3,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-03-09,S4085,Synthetic Student 4085,present,0,qr,2,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-05-09,S4164,Synthetic Student 4164,present,0,qr,2,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-02-16,S4032,Synthetic Student 4032,absent,1,qr,13,Wednesday,14:00,2
MATH101,Calculus I,Section 2,2026-02-23,S4030,Synthetic Student 4030,present,0,qr,12,Saturday,10:00,5
CS101,Intro to Programming,Section 1,2026-03-07,S4121,Synthetic Student 4121,present,0,qr,5,Sunday,12:00,2
STAT101,Statistics I,Section 2,2026-04-13,S4174,Synthetic Student 4174,absent,1,qr,10,Wednesday,14:00,2
CS101,Intro to Programming,Section 3,2026-04-06,S4177,Synthetic Student 4177,present,2,qr,9,Monday,10:00,3
PHY101,Physics I,Section 1,2026-02-28,S4049,Synthetic Student 4049,absent,0,qr,1,Saturday,10:00,5
PHY101,Physics I,Section 1,2026-02-28,S4178,Synthetic Student 4178,present,2,qr,3,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4121,Synthetic Student 4121,absent,0,qr,14,Wednesday,14:00,3
PHY101,Physics I,Section 2,2026-04-04,S4130,Synthetic Student 4130,absent,0,manual,12,Sunday,12:00,2
CS101,Intro to Programming,Section 3,2026-05-02,S4003,Synthetic Student 4003,present,0,qr,8,Sunday,12:00,5
CS101,Intro to Programming,Section 3,2026-04-06,S4064,Synthetic Student 4064,absent,0,qr,8,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-02-14,S4147,Synthetic Student 4147,present,2,qr,5,Monday,14:00,3
MATH101,Calculus I,Section 2,2026-02-16,S4136,Synthetic Student 4136,late,19,qr,6,Wednesday,14:00,4
STAT101,Statistics I,Section 3,2026-03-16,S4027,Synthetic Student 4027,present,0,qr,6,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-05-09,S4001,Synthetic Student 4001,late,11,qr,9,Monday,09:00,3
MATH101,Calculus I,Section 1,2026-03-16,S4083,Synthetic Student 4083,present,0,qr,13,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-04-27,S4069,Synthetic Student 4069,present,2,qr,7,Sunday,12:00,4
PHY101,Physics I,Section 1,2026-03-23,S4171,Synthetic Student 4171,present,0,qr,14,Saturday,10:00,4
MATH101,Calculus I,Section 2,2026-03-23,S4037,Synthetic Student 4037,absent,0,qr,7,Saturday,10:00,2
MATH101,Calculus I,Section 2,2026-02-14,S4002,Synthetic Student 4002,present,1,qr,8,Monday,09:00,4
STAT101,Statistics I,Section 3,2026-03-16,S4013,Synthetic Student 4013,absent,0,manual,3,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-03-23,S4050,Synthetic Student 4050,absent,0,qr,11,Saturday,10:00,4
STAT101,Statistics I,Section 1,2026-02-16,S4026,Synthetic Student 4026,present,0,qr,12,Wednesday,14:00,2
STAT101,Statistics I,Section 2,2026-04-11,S4063,Synthetic Student 4063,late,21,qr,3,Monday,09:00,2
PHY101,Physics I,Section 3,2026-03-16,S4105,Synthetic Student 4105,excused,0,manual,6,Monday,14:00,3
CS101,Intro to Programming,Section 3,2026-03-21,S4032,Synthetic Student 4032,absent,0,qr,8,Wednesday,10:00,3
STAT101,Statistics I,Section 2,2026-05-11,S4162,Synthetic Student 4162,absent,1,qr,10,Wednesday,14:00,2
CS101,Intro to Programming,Section 1,2026-04-25,S4068,Synthetic Student 4068,present,0,qr,13,Saturday,10:00,4
CS101,Intro to Programming,Section 1,2026-03-07,S4112,Synthetic Student 4112,late,15,qr,9,Sunday,12:00,2
PHY101,Physics I,Section 1,2026-05-09,S4096,Synthetic Student 4096,absent,0,qr,12,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-04-04,S4068,Synthetic Student 4068,present,0,qr,14,Sunday,12:00,3
PHY101,Physics I,Section 1,2026-04-18,S4067,Synthetic Student 4067,present,0,qr,7,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-02-21,S4170,Synthetic Student 4170,present,0,qr,5,Wednesday,14:00,4
PHY101,Physics I,Section 3,2026-05-02,S4089,Synthetic Student 4089,present,0,qr,13,Sunday,12:00,2
MATH101,Calculus I,Section 2,2026-02-23,S4030,Synthetic Student 4030,present,0,qr,8,Saturday,10:00,5
PHY101,Physics I,Section 1,2026-03-21,S4154,Synthetic Student 4154,present,0,qr,7,Wednesday,14:00,4
STAT101,Statistics I,Section 3,2026-03-16,S4077,Synthetic Student 4077,present,0,qr,6,Wednesday,14:00,5
PHY101,Physics I,Section 2,2026-02-23,S4173,Synthetic Student 4173,present,0,qr,7,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-02-23,S4111,Synthetic Student 4111,present,1,qr,11,Saturday,10:00,4
MATH101,Calculus I,Section 3,2026-04-27,S4163,Synthetic Student 4163,present,0,qr,6,Sunday,12:00,4
PHY101,Physics I,Section 1,2026-03-23,S4106,Synthetic Student 4106,present,0,qr,13,Saturday,10:00,4
STAT101,Statistics I,Section 2,2026-05-02,S4151,Synthetic Student 4151,present,0,qr,9,Sunday,12:00,2
STAT101,Statistics I,Section 2,2026-04-13,S4108,Synthetic Student 4108,absent,0,qr,10,Wednesday,14:00,2
MATH101,Calculus I,Section 1,2026-04-06,S4172,Synthetic Student 4172,present,1,qr,7,Monday,09:00,3
PHY101,Physics I,Section 3,2026-05-04,S4060,Synthetic Student 4060,present,1,qr,12,Monday,09:00,2
CS101,Intro to Programming,Section 3,2026-03-23,S4171,Synthetic Student 4171,absent,0,qr,11,Saturday,10:00,3
STAT101,Statistics I,Section 1,2026-04-27,S4093,Synthetic Student 4093,present,0,qr,12,Sunday,12:00,4
STAT101,Statistics I,Section 2,2026-05-04,S4102,Synthetic Student 4102,late,7,qr,13,Monday,09:00,2
MATH101,Calculus I,Section 3,2026-02-09,S4167,Synthetic Student 4167,present,0,qr,12,Monday,09:00,4
CS101,Intro to Programming,Section 3,2026-03-16,S4017,Synthetic Student 4017,absent,2,qr,12,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-02-28,S4022,Synthetic Student 4022,present,0,qr,4,Saturday,10:00,5
STAT101,Statistics I,Section 2,2026-04-13,S4162,Synthetic Student 4162,absent,0,qr,5,Wednesday,14:00,2
PHY101,Physics I,Section 2,2026-04-04,S4119,Synthetic Student 4119,absent,0,qr,9,Sunday,12:00,2
CS101,Intro to Programming,Section 3,2026-03-14,S4067,Synthetic Student 4067,present,0,qr,6,Monday,09:00,5
MATH101,Calculus I,Section 3,2026-04-18,S4132,Synthetic Student 4132,present,0,qr,10,Wednesday,14:00,4
CS101,Intro to Programming,Section 2,2026-02-23,S4003,Synthetic Student 4003,present,0,qr,12,Saturday,09:00,5
MATH101,Calculus I,Section 1,2026-05-02,S4109,Synthetic Student 4109,present,2,qr,3,Sunday,12:00,2
MATH101,Calculus I,Section 1,2026-03-14,S4043,Synthetic Student 4043,present,0,qr,3,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-03-07,S4139,Synthetic Student 4139,absent,0,qr,6,Sunday,12:00,2
PHY101,Physics I,Section 1,2026-05-11,S4137,Synthetic Student 4137,absent,0,qr,14,Wednesday,14:00,5
MATH101,Calculus I,Section 3,2026-04-27,S4011,Synthetic Student 4011,present,1,qr,6,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-09,S4129,Synthetic Student 4129,present,0,qr,2,Monday,09:00,3
MATH101,Calculus I,Section 1,2026-04-11,S4164,Synthetic Student 4164,present,2,qr,5,Monday,09:00,5
MATH101,Calculus I,Section 3,2026-04-18,S4104,Synthetic Student 4104,present,0,qr,11,Wednesday,14:00,4
CS101,Intro to Programming,Section 3,2026-04-18,S4153,Synthetic Student 4153,absent,0,qr,8,Wednesday,14:00,3
STAT101,Statistics I,Section 3,2026-03-16,S4117,Synthetic Student 4117,absent,0,qr,6,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-03-09,S4171,Synthetic Student 4171,absent,0,qr,13,Monday,09:00,3
MATH101,Calculus I,Section 2,2026-02-28,S4017,Synthetic Student 4017,absent,0,qr,10,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-05-04,S4045,Synthetic Student 4045,present,0,qr,13,Monday,09:00,5
MATH101,Calculus I,Section 3,2026-02-09,S4175,Synthetic Student 4175,present,0,qr,1,Monday,09:00,4
STAT101,Statistics I,Section 1,2026-02-28,S4139,Synthetic Student 4139,late,13,qr,8,Saturday,14:00,5
STAT101,Statistics I,Section 1,2026-02-09,S4145,Synthetic Student 4145,present,1,qr,3,Monday,09:00,3
MATH101,Calculus I,Section 3,2026-03-09,S4157,Synthetic Student 4157,absent,0,qr,14,Monday,09:00,2
MATH101,Calculus I,Section 1,2026-04-06,S4145,Synthetic Student 4145,absent,1,qr,9,Monday,09:00,3
MATH101,Calculus I,Section 1,2026-03-16,S4125,Synthetic Student 4125,absent,0,qr,7,Wednesday,14:00,5
PHY101,Physics I,Section 2,2026-02-16,S4049,Synthetic Student 4049,absent,0,qr,2,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-03-23,S4033,Synthetic Student 4033,present,0,qr,8,Saturday,10:00,4
MATH101,Calculus I,Section 2,2026-03-23,S4117,Synthetic Student 4117,absent,0,qr,2,Saturday,10:00,2
PHY101,Physics I,Section 2,2026-02-14,S4114,Synthetic Student 4114,excused,0,manual,1,Monday,09:00,5
CS101,Intro to Programming,Section 1,2026-03-09,S4044,Synthetic Student 4044,present,0,qr,3,Monday,09:00,2
STAT101,Statistics I,Section 3,2026-04-20,S4013,Synthetic Student 4013,absent,2,qr,3,Saturday,10:00,3
CS101,Intro to Programming,Section 2,2026-02-21,S4096,Synthetic Student 4096,excused,2,manual,3,Wednesday,14:00,5
PHY101,Physics I,Section 3,2026-03-16,S4119,Synthetic Student 4119,absent,0,qr,6,Wednesday,14:00,3
STAT101,Statistics I,Section 3,2026-04-18,S4166,Synthetic Student 4166,late,8,qr,11,Wednesday,14:00,3
MATH101,Calculus I,Section 3,2026-04-25,S4138,Synthetic Student 4138,late,11,qr,4,Saturday,10:00,4
STAT101,Statistics I,Section 2,2026-05-04,S4020,Synthetic Student 4020,present,0,qr,8,Saturday,09:00,2
PHY101,Physics I,Section 1,2026-04-13,S4039,Synthetic Student 4039,present,0,qr,1,Wednesday,14:00,3
MATH101,Calculus I,Section 3,2026-03-09,S4156,Synthetic Student 4156,absent,0,qr,5,Monday,09:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4090,Synthetic Student 4090,absent,0,qr,3,Wednesday,14:00,5
CS101,Intro to Programming,Section 2,2026-03-02,S4177,Synthetic Student 4177,present,0,qr,6,Monday,12:00,3
MATH101,Calculus I,Section 1,2026-03-16,S4034,Synthetic Student 4034,present,0,qr,6,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-05-02,S4007,Synthetic Student 4007,present,0,qr,3,Saturday,12:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4072,Synthetic Student 4072,present,0,qr,14,Wednesday,14:00,3
MATH101,Calculus I,Section 2,2026-03-02,S4175,Synthetic Student 4175,present,0,qr,14,Sunday,12:00,4
STAT101,Statistics I,Section 2,2026-05-11,S4029,Synthetic Student 4029,late,14,qr,14,Wednesday,14:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4084,Synthetic Student 4084,present,0,qr,9,Wednesday,14:00,5
CS101,Intro to Programming,Section 1,2026-04-25,S4017,Synthetic Student 4017,absent,0,qr,8,Saturday,09:00,4
STAT101,Statistics I,Section 1,2026-03-23,S4027,Synthetic Student 4027,present,0,qr,4,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-04-20,S4110,Synthetic Student 4110,absent,0,qr,13,Saturday,10:00,3
MATH101,Calculus I,Section 3,2026-02-07,S4029,Synthetic Student 4029,present,0,qr,13,Sunday,12:00,4
MATH101,Calculus I,Section 3,2026-03-07,S4057,Synthetic Student 4057,absent,0,qr,8,Sunday,12:00,2
PHY101,Physics I,Section 2,2026-02-09,S4177,Synthetic Student 4177,absent,0,qr,1,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-03-21,S4005,Synthetic Student 4005,present,0,qr,6,Wednesday,14:00,4
MATH101,Calculus I,Section 1,2026-03-16,S4002,Synthetic Student 4002,late,8,qr,7,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-04-06,S4035,Synthetic Student 4035,present,0,qr,10,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-02-16,S4171,Synthetic Student 4171,present,1,qr,10,Wednesday,14:00,3
CS101,Intro to Programming,Section 3,2026-04-04,S4163,Synthetic Student 4163,late,1,qr,13,Wednesday,12:00,3
MATH101,Calculus I,Section 2,2026-02-14,S4178,Synthetic Student 4178,present,0,qr,1,Monday,09:00,4
MATH101,Calculus I,Section 2,2026-02-23,S4152,Synthetic Student 4152,present,0,qr,4,Saturday,10:00,5
MATH101,Calculus I,Section 3,2026-03-09,S4146,Synthetic Student 4146,present,0,qr,8,Monday,09:00,2
PHY101,Physics I,Section 2,2026-03-28,S4022,Synthetic Student 4022,present,0,qr,9,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-03-09,S4060,Synthetic Student 4060,present,2,qr,7,Sunday,09:00,3
STAT101,Statistics I,Section 1,2026-02-09,S4102,Synthetic Student 4102,excused,1,manual,12,Monday,09:00,3
PHY101,Physics I,Section 1,2026-04-13,S4126,Synthetic Student 4126,present,2,qr,12,Wednesday,14:00,3
CS101,Intro to Programming,Section 1,2026-03-07,S4164,Synthetic Student 4164,absent,0,qr,9,Sunday,12:00,2
MATH101,Calculus I,Section 2,2026-05-11,S4073,Synthetic Student 4073,excused,2,manual,1,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-03-21,S4035,Synthetic Student 4035,present,2,qr,5,Wednesday,14:00,3
MATH101,Calculus I,Section 3,2026-04-27,S4007,Synthetic Student 4007,late,1,qr,7,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-03-21,S4052,Synthetic Student 4052,absent,0,qr,1,Wednesday,14:00,4
CS101,Intro to Programming,Section 1,2026-03-28,S4114,Synthetic Student 4114,present,0,qr,9,Saturday,10:00,4
CS101,Intro to Programming,Section 2,2026-02-28,S4010,Synthetic Student 4010,present,0,qr,14,Saturday,10:00,3
STAT101,Statistics I,Section 1,2026-02-14,S4150,Synthetic Student 4150,present,0,qr,8,Monday,09:00,2
MATH101,Calculus I,Section 2,2026-03-21,S4080,Synthetic Student 4080,absent,1,qr,11,Wednesday,14:00,2
PHY101,Physics I,Section 2,2026-03-30,S4118,Synthetic Student 4118,absent,0,qr,13,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-28,S4178,Synthetic Student 4178,present,0,qr,13,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-04-25,S4041,Synthetic Student 4041,excused,0,manual,14,Saturday,10:00,4
PHY101,Physics I,Section 3,2026-03-14,S4089,Synthetic Student 4089,absent,0,qr,2,Monday,09:00,3
PHY101,Physics I,Section 1,2026-03-21,S4127,Synthetic Student 4127,present,1,qr,14,Wednesday,14:00,4
PHY101,Physics I,Section 2,2026-04-06,S4092,Synthetic Student 4092,present,0,qr,3,Monday,09:00,2
PHY101,Physics I,Section 3,2026-03-14,S4159,Synthetic Student 4159,present,0,qr,2,Monday,09:00,3
CS101,Intro to Programming,Section 1,2026-03-09,S4123,Synthetic Student 4123,present,0,qr,14,Monday,09:00,2
MATH101,Calculus I,Section 3,2026-02-07,S4128,Synthetic Student 4128,absent,2,qr,13,Sunday,12:00,4
CS101,Intro to Programming,Section 3,2026-05-09,S4042,Synthetic Student 4042,present,2,qr,12,Monday,09:00,3
CS101,Intro to Programming,Section 1,2026-04-25,S4176,Synthetic Student 4176,present,0,qr,11,Saturday,10:00,4
STAT101,Statistics I,Section 2,2026-04-06,S4108,Synthetic Student 4108,present,0,qr,8,Monday,09:00,3
STAT101,Statistics I,Section 2,2026-04-04,S4050,Synthetic Student 4050,absent,1,qr,13,Sunday,12:00,3
MATH101,Calculus I,Section 3,2026-02-07,S4170,Synthetic Student 4170,present,0,qr,1,Sunday,12:00,4
MATH101,Calculus I,Section 1,2026-03-14,S4128,Synthetic Student 4128,present,0,qr,1,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-04-04,S4113,Synthetic Student 4113,present,0,qr,8,Sunday,12:00,3
STAT101,Statistics I,Section 2,2026-05-04,S4133,Synthetic Student 4133,late,3,qr,14,Monday,09:00,2
